nama_tahun,nama_bulan,data_content
2010,Januari,6702
2010,Februari,6887
2010,Maret,6853
2010,April,6761
2010,Mei,6772
2010,Juni,6873
2010,Juli,7025
2010,Agustus,7317
2010,September,7350
2010,Oktober,7391
2010,November,7457
2010,Desember,7617
2010,Tahunan,7084
2011,Januari,7853
2011,Februari,7612
2011,Maret,7371
2011,April,7199
2011,Mei,7233
2011,Juni,7463
2011,Juli,7899
2011,Agustus,8152
2011,September,8255
2011,Oktober,8416
2011,November,8496
2011,Desember,8726
2011,Tahunan,7889
2012,Januari,8726
2012,Februari,8777
2012,Maret,8687
2012,April,8582
2012,Mei,8536
2012,Juni,8554
2012,Juli,8606
2012,Agustus,8635
2012,September,8623
2012,Oktober,8624
2012,November,8654
2012,Desember,8702
2012,Tahunan,8642
2013,Januari,8834
2013,Februari,8842
2013,Maret,8782
2013,April,8711
2013,Mei,8681
2013,Juni,8784
2013,Juli,9017
2013,Agustus,9056
2013,September,9057
2013,Oktober,9108
2013,November,9152
2013,Desember,9261
2013,Tahunan,8941
2014,Januari,9433
2014,Februari,9531
2014,Maret,9595
2014,April,9424
2014,Mei,9413
2014,Juni,9462
2014,Juli,9525
2014,Agustus,9525
2014,September,9693
2014,Oktober,9780
2014,November,9924
2014,Desember,10343
2014,Tahunan,9637
2015,Januari,10612
2015,Februari,10765
2015,Maret,10986
2015,April,10648
2015,Mei,10568
2015,Juni,10679
2015,Juli,10732
2015,Agustus,10935
2015,September,11055
2015,Oktober,11169
2015,November,11365
2015,Desember,11465
,,
2016,Januari,11614
2016,Februari,11729
2016,Maret,11677
2016,April,11449
2016,Mei,11417
2016,Juni,11469
2016,Juli,11498
2016,Agustus,11475
2016,September,11448
2016,Oktober,11432
2016,November,11450
2016,Desember,11476
,,
2017,Januari,11579
2017,Februari,11571
2017,Maret,11494
2017,April,11449
2017,Mei,11465
2017,Juni,11465
2017,Juli,11448
2017,Agustus,11411
2017,September,11481
2017,Oktober,11552
2017,November,11665
2017,Desember,11838
,,
2018,Januari,12276
2018,Februari,12414
2018,Maret,12299
2018,April,12035
2018,Mei,11943
2018,Juni,11907
2018,Juli,11936
2018,Agustus,11899
2018,September,11900
2018,Oktober,11926
2018,November,12013
2018,Desember,12105
,,
2019,Januari,12219
2019,Februari,12222
2019,Maret,12124
2019,April,12019
2019,Mei,12008
2019,Juni,12009
2019,Juli,12021
2019,Agustus,12018
2019,September,12050
2019,Oktober,12108
2019,November,12120
2019,Desember,12183
2020,Januari,12342
2020,Februari,12355
2020,Maret,12368
2020,April,12382
2020,Mei,12293
2020,Juni,12223
2020,Juli,12212
2020,Agustus,12400
2020,September,12400
2020,Oktober,12400
2020,November,12400
2020,Desember,12400
2021,Januari,12400
2021,Februari,12400
2021,Maret,12400
2021,April,12400
2021,Mei,12400
2021,Juni,12300
2021,Juli,12300
2021,Agustus,12300
2021,September,12300
2021,Oktober,12300
2021,November,12300
2021,Desember,12300
2022,Januari,12400
2022,Februari,12400
2022,Maret,12400
2022,April,12400
2022,Mei,12400
2022,Juni,12400
2022,Juli,12400
2022,Agustus,12500
2022,September,12600
2022,Oktober,12800
2022,November,12800
2022,Desember,13000
2023,Januari,13159
2023,Februari,13521
2023,Maret,13712
2023,April,13929
2023,Mei,13946
2023,Juni,14019
2023,Juli,14039
2023,Agustus,14100
2023,September,14711
2023,Oktober,15052
2023,November,15117
,,
